Name,Website Link,Address,Contact Number,Email
Rathi Hospital,https://rathihospitals.com/,"3, Nangloi - Najafgarh Rd, near kali mata mandir, Pratap Vihar, Ranhola, New Delhi, Delhi, 110041, India","+91 98711 73355, 9871173355965010000",connect@rathihospitals.com
Singhal Hospital,https://singhalhospital.business.site/,"c 40 gali no 9 sadh nagar palam colony, near desu office, Manglapuri, New Delhi, Delhi 110045, India","+91 78349 78881, 098109 88545",
Garg Hospital,http://garghospital.co.in/,"8-9, opposite Karkardooma Court, A G C R Enclave, Anand Vihar, New Delhi, Delhi 110092, India","+91 11 4327 4444, 011-43274444",garghospitalagcr@gmail.com
Bansal Global Hospital,https://www.bansalglobalhospital.com/,"C-10, near Jahangirpuri Metro Station, Ramgarh, Ramgarh Village, Jahangirpuri, Delhi, 110033, India","+91 11 2763 6400, 011- 27636400",
Sehgal Neo Hospital,http://www.sehgalneohospital.com/,"B-362 363, 364, Outer Ring Rd, near to ICICI Bank, Block B, Meera Bagh, Paschim Vihar, New Delhi, Delhi, 110063, India","+91 11 4556 5656, +91 8800297600",sehgalneohospital@gmail.com
Aakash Hospital,https://aakashhospital.com/,"90, 43, Malviya Nagar Rd, Malviya Nagar, New Delhi, Delhi 110017, India","+91 11 4050 1000, 011 40501000",rahultrehan@aakashhospital.com
"Super Speciality Block, SGRH",http://www.sgrh.com/,"22/1, Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, Delhi, 110060, India","+91 11 2575 0000, -42253920",gangaram@sgrh.com
Ramlal Kundanlal Multi Speciality Hospital,https://rk-hospital.com/,"Plot No. 8, Pandav Nagar, Road, Patparganj, Delhi, 110092, India","+91 11 4318 9000, +91 11 43189000",info@rk-hospital.com
Khushi Hospital,,"Plot #1, Karuna Kunj, near DELHI PUBLIC SCHOOL, Dwarka Sector-3, Dwarka, New Delhi, Delhi 110078, India","+91 96504 90016, ",
St. Stephen's Hospital,,"St. Stephen's Hospital Marg, Tis Hazari, New Delhi, Delhi 110054, India","+91 11 2396 6021, ",
Apex Citi Hospital,,"D-440, Hanuman Road, D-Block, I.P.Extension, West Vinod Nagar, New Delhi, Delhi 110092, India","+91 11 2247 2111, ",
"Medeor Hospital, Dwarka",https://medeor.in/,"Near Ashirwad Chowk, Phase 1, HAF-B, Sector 12 Dwarka, New Delhi, Delhi 110075, India","+91 11 4822 2222, +91 11 4122 2222",info@medeor.in
K K Hospital,http://www.kk-hospital.com/,"2, Inder Enclave, Rohtak Rd, opposite Pillar No. 316, Peera Garhi, New Delhi, Delhi 110087, India","+91 98910 11075, 9654-451-104",kk_hospital@rediffmail.com
Virmani Hospital,http://www.virmanihospital.com/,"plot no 8, block 2, Mayur Vihar Phase II, Patparganj, New Delhi, Delhi, 110091, India","+91 11 4508 6262, -9810002586",queryvirmanihospital@gmail.com
Saraswati Memorial Hospital,,"347/1, 332/2 & 333, 2, Ram Swaroop Vidyarthi Marg, Than Singh Nagar, Anand Parbat, New Delhi, Delhi 110005, India","+91 11 2876 2539, ",
"Max Multi Speciality Centre, Panchsheel Park",https://www.maxhealthcare.in/hospital-network/max-multi-speciality-centre-panchsheel-park?utm_source=D-Organic&utm_medium=gmb&utm_campaign=panchsheel-profile,"N 110, Block N, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi 110017, India","+91 11 4609 7200, +91 92688 80303",digitalquery@maxhealthcare.com
Ishan Hospital,https://ishanhpl.com/,"Plot No.1, Pocket, 8B, Dr MC Davar Marg, Sector 19, Rohini, New Delhi, Delhi 110089, India","+91 92125 17399, 9312517399",dineshbansal9@gmail.com
Sanjeevan Hospital,https://sanjeevanhealthcare.com/,"24, Ansari Rd, Daryaganj, New Delhi, Delhi, 110002, India","+91 11 4577 0000, 011-45770000",sanjeevanhospitaldelhi@gmail.com
Moolchand Hospital,https://www.moolchandhealthcare.com/,"Moolchand Flyover, Block M, Lajpat Nagar IV, Defence Colony, New Delhi, Delhi 110049, India","+91 11 4200 0000, +91 11 4200 0000",clinic@moolchandhealthcare.com
افضل مستشفيات الهند,https://medicaltourismforarab.com/,"352 Munirka village, Delhi 110067, India","+91 95604 72036, -9560471945",info@medicaltourismforarab.com
IBS Hospital,http://www.ibshospitals.com/,"73, Ring Rd, Block L, Lajpat Nagar III, Sarojini Nagar, New Delhi, Delhi 110024, India","+91 11 4321 0000, +91 7677767748",ip@ibshospitals.com
Hospital,,"M69C+8C8, Mori Gate Marg, Police Lines, Civil Lines, Delhi, 110054, India",", ",
Cygnus MLS Hospitals,https://ujalacygnus.com/?utm_source=gmb&utm_term=ramavihar,"Plot No 4, Main Market, Kanjhawala Rd, Rama Vihar, Sector 38, Rohini, Delhi, 110081, India","+91 99996 55255, 011- 41750891",info@ujalacygnus.com
Holy Angels Hospital,http://www.holyangelshospital.org.in/,"Plot B Community Center Vasant Lok near Vasant Vihar Metro station, behind Jaypee Continental Hotel, New Delhi, Delhi 110057, India","+91 11 4335 7700, +91 011 43357700",holyangelshealthcare@gmail.com
Revive Hospital |best hospital in tilak nagar |Hospital in tilak nagar,,"5A/2 491, opp. Metro pillar no, near Police Station, Block 5A, Tilak Nagar, New Delhi, Delhi, 110018, India","+91 11 4640 5588, ",
Vinayak Hospital,https://vinayakhospital.co.in/,"Derawal Nagar, Gujranwala Town, New Delhi, Delhi, 110009, India","+91 99904 55555, -6508",info@vinayakhospital.co.in
Central Hospital,http://www.centralhospitalwestdelhi.com/,"A-142/1, A-142, Ganesh Nagar, Tilak Nagar, New Delhi, Delhi 110018, India","+91 11 4077 7915, 1140777999",info@centralhospitalwestdelhi.com
DELHI MULTI SPECIALITY HOSPITAL,http://www.delhimshospital.com/,"I-21, Vijay Vihar Phase II, Vijay Vihar, Sector 4, Rohini, Delhi, 110085, India","+91 99997 89099, +91 9999789099",delhimshospital@gmail.com
Shri Balaji Hospital,http://actionhospital.in/,"Shop No. 76, Sharma Colony, Phase 2, Budh Vihar, Delhi, 110086, India","+91 11 4288 8888, 011-42888888",info@actionhospital.com
Malik Radix Healthcare,http://radixhealthcare.org/,"C-217, 218 near Nirman Vihar Metro Station Exit Metro Gate, 4th St, New Delhi, Delhi 110092, India","+91 1800 120 5457, 1800-120-5457",info@radixhealthcare.org
B K Memorial Hospital,http://www.guptaheartcare.com/,"A-4/22 Paschim Vihar, New Delhi, Delhi 110063, India","+91 11 4545 2222, 011 - 45452222",
Tyagi Hospital,https://www.tyagihospital.in/,"Metro Station, 66/3 & 66/4, near Tilak Nagar Delhi, Block 66, Ashok Nagar, New Delhi, Delhi, 110018, India","+91 70650 50403, -6986",info@tyagihosital.com
"Max Super Speciality Hospital, Shalimar Bagh",https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-shalimar-bagh?utm_source=D-Organic&utm_medium=gmb&utm_campaign=shalimar-profile,"FC 50, Max Wali Rd, C and D Block, Shalimar Place Site, Shalimar Bagh, New Delhi, Delhi, 110088, India",", +91 92688 80303",digitalquery@maxhealthcare.com
Aarogya Hospital East Delhi,https://www.aarogyahospital.com/,"32, Vikas Marg, near Nirman Vihar, Chitra Vihar, Swasthya Vihar, New Delhi, Delhi, 110092, India","+91 93693 00300, +91 9369300300",info@aarogyahospital.com
Sanjay Global Hospital,,"C-1970, 1971, Majlis Park Main Rd, near State Bank of India, Jahangirpuri, New Delhi, Delhi 110033, India","+91 98103 95444, ",
KESAR HOSPITAL,,"11, Shaheed Udham Singh Marg, Block AH, Poorbi Shalimar Bag, Shalimar Bagh, New Delhi, Delhi, 110088, India","+91 98993 26867, ",
Aggarwal Dharmarth Hospital,,"24/9, Shakti Nagar, New Delhi, Delhi 110007, India","+91 11 4363 1739, ",
Hitaishi Hospital,http://www.hitaishihospital.in/,"E-15/154, Pradeep Bhatia Marg, Pocket 15, Sector 8, Rohini, Delhi, 110085, India","+91 96437 14010, -9811082919",hitaishihospital92@gmail.com
Muni Maya Ram Jain Hospital,,"Muni Maya Ram Jain Marg, near DAV School, Block KD, Dakshini Pitampura, Pitampura, New Delhi, Delhi, 110034, India","+91 11 2731 7402, ",
Himgiri Hospital,,"F55, Block B, Sudershan Park, New Delhi, Delhi, 110015, India","+91 98103 60336, ",
Dashmesh Hospital,http://dashmeshhospital.in/,"C141, Jail Road, Near Fateh Nagar Bus Stand, Shiv Nagar Extension, Janakpuri, 102/574, Shiv Nagar, Janakpuri, New Delhi, Delhi 110058, India","+91 11 4909 6409, 011-49096409",ms@dashmeshhospital.in
Hemraj Jain Hospital and Maternity Home,http://www.hemrajjainhospitals.com/,"Nursing Home #1, Block C1, Janakpuri, New Delhi, Delhi 110058, India","+91 97171 88451, ",
Delhi Cantonment General Hospital,http://www.cbdelhi.in/,"Sadar Bazar Rd, opposite Police Station, Kabul Lines, Delhi Cantonment, New Delhi, Delhi 110010, India","+91 11 2338 6982, ",
Navjeevan Hospital,,"Golden Red Light, A-12 Pushpanjali Enclave Opp.Jaipur, Outer Ring Rd, Pushpanjali Enclave, Pitampura, New Delhi, Delhi 110088, India","+91 98114 03215, ",
Jivodaya hospital,http://www.jivodayahospital.com/,"Ashok Vihar Phase 1 Rd, near Deep Market, Wazirpur Village, Ashok Vihar, Delhi, 110052, India","+91 11 4039 5518, +91-11-40395518, 40395182",jivodaya1980@gmail.com
Venkateshwar Hospital,https://www.venkateshwarhospitals.com/,"Sector 12 Rd, Sector 18, Sector 18A Dwarka, Dwarka, New Delhi, Delhi, 110075, India","+91 11 4855 5555, -1078",info@venkateshwarhospitals.com
Fortis La Femme,https://www.fortishealthcare.com/india/fortis-la-femme-hospital-in-greater-kailash-delhi?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb,"S - 549 Alakananda, Alaknanda Don Bosco Rd, Greater Kailash II, New Delhi, Delhi 110048, India","+91 85271 21234, 1725096001",contactus.flf@fortishealthcare.com
Bhagwan Mahavir Hospital,https://bmh.delhi.gov.in/,"H-4,5, Pitampura, Delhi, 110034, India","+91 11 2703 4535, 011- 27034535",
Maheshwari Hospital,http://www.maheshwarihospital.com/,"41, Block F 1U, Uttari Pitampura, Pitampura, New Delhi, Delhi, 110088, India","+91 98116 79020, ",
Patel Hospital,,"J7JH+769, Vikas Marg, Veer Savarkar Block, Block U, Shakarpur Khas, New Delhi, Delhi, 110092, India","+91 11 2244 9151, ",
Dwarka Hospital,,"B-92,Pipe Line, Patel Garden, Kakrola, New Delhi, Delhi 110059, India","+91 98993 67038, ",
Westend Hospital,,"11/72, near Allahabad Bank, Block 11, Tilak Nagar, Delhi, 110018, India","+91 11 2599 1339, ",
Nirmal Hospital,https://delhi.gov.in/,"C-6/241 243, Main, Police Station Rd, Block P, Sultanpuri, New Delhi, Delhi, 110086, India",", ",
Jain Charitable Hospital,http://www.jaincharitablehospital.com/,"Gali Number 5, Gandhi Nagar, Raghubarpura 2, Seelampur, Shahdara, New Delhi, Delhi, 110031, India","+91 96676 45561, 8882937002, 966764556",jaincharitablehospital@yahoo.com
Srg Hospital,https://www.srghospitalnangloi.com/,"205 & 206, Nangloi - Najafgarh Rd, Kotla Vihar Phase 1, Tilangpur Kotla, Delhi, 110041, India","+91 93127 75033, -9312774942",srghospitalnangloi@gmail.com
Talwar Hospital,http://www.talwarhospital.in/,"M-139, CR Park Road, Greater Kailash II, New Delhi, Delhi 110048, India","+91 11 4379 4200, +91 11 4379 4200",talwarmedicalcentre@gmail.com
Aruna Asaf Ali Govt Hospital,http://delhi.gov.in/wps/wcm/connect/doit_aruna/Aruna_Hospital/Home/Contact+Us,"5, Rajpur Rd, Police Lines, Civil Lines, New Delhi, Delhi, 110054, India","+91 11 2396 5532, ",
Avantika Hospital,http://avantikahealthcare.in/,"A-168, MIG, Pocket 00, Sector 2, Rohini, New Delhi, Delhi, 110085, India","+91 99994 47978, -9818437285",ankit@avantikahealthcare.com
Mehta Hospital,,"F1/108/A, Virat Road, Dr. Ambedkar Nagar, Madangir Market, New Delhi, Delhi 110062, India","+91 11 6464 6411, ",
Pearl Hospital,https://www.pearlhospitals.co.in/about-us,"29, Gali Number 3, Dindarpur Extension, Dwarka, New Delhi, Delhi, 110043, India","+91 99103 07447, 8042756909",pearlhospital.delhi@gmail.com
Bhagwati Hospital,http://www.bhagwatihospital.in/,"113, Ward, G5FH+7M8, 1, Mehrauli Village, Mehrauli, New Delhi, Delhi 110030, India","+91 11 2664 3304, 011-43126000,43126060",bhagwatihospitalr13@gmail.com
Jag Pravesh Chandra Hospital,,"Panduk Shila Marg, near Northern Engineering College, Shastri Park, Shahdara, New Delhi, Delhi, 110053, India","+91 11 2218 4453, ",
Swasthik Hospital,,"near, Bus Stand A/9, Nangloi - Najafgarh Rd, Shiv Nagar, Najafgarh, New Delhi, Delhi 110043, India","+91 99902 97576, ",
Rosewalk Healthcare - A Unit of Rainbow Children's Hospital,https://www.rainbowhospitals.in/rosewalk,"N-88, Panchsheel Marg, Block N, Panchsheel Park North, Panchsheel Park, New Delhi, Delhi 110049, India","+91 80 3783 6551, ",
Sir Ganga Ram City Hospital,https://www.sgrcityhospital.com/,"Sir Ganga Ram City Hospital, Pusa Rd, New Delhi, Delhi 110005, India","+91 11 4225 5555, -42255475",info@sgrcityhospital.com
Delhi Hospital,,"Mool Chand Nagar, Adarsh Nagar, Delhi, 110033, India","+91 11 2573 3417, ",
Ayushman Hospital,http://www.ayushmanhhs.in/,"Near, Elephenta Line, GD Goenka School Rd, Sector 10 Dwarka, New Delhi, Delhi 110078, India","+91 11 4949 5555, +91 9205481438",info@ayushmanhhs.in
Shree Aggarsain International Hospital,https://saih.in/,"Police Station, PSP Aman Vihar, CH Bhim Singh Nambardar Marg, Sector 22, Rohini, New Delhi, Delhi 110086, India","+91 11 6663 6600, 011-66636600 , 011",info@saih.in
Hospital,http://portal.delhi.gov.in/,"J77Q+8XW, Sarita Vihar, Mathura Rd, Mayur Vihar Phase I, Patparganj, New Delhi, Delhi 110076, India","+91 11 2692 5858, ",
RLKC Hospital & Metro Heart Institute,https://www.metrohospitals.com/group-hospitals/rlkc-metro-hospital-heart-institute-pandav-nagar-delhi,"Pandav Nagar, Naraina Road, Near Shadipur Metro Station, Pandav Nagar, Shadipur, New Delhi, Delhi 110008, India","+91 11 6131 6666, +91-011- 61316666, 25891015",info@metrohospitals.com
Paras Hospital,,"12, Guru Harkishan Nagar, West Delhi, New Delhi, Delhi, 110087, India","+91 87084 61125, ",
Mohinder Hospital,,"Block C, Green Park Extension, Green Park, New Delhi, Delhi 110016, India","+91 11 2651 2800, ",
"Maharaja Agrasen Hospital, Dwarka",https://www.mahdwarka.in/,"H3VH+C7Q, Pocket 4, Sector 1 Dwarka, Dwarka, New Delhi, Delhi, 110075, India","+91 70421 29624, -7042129533",info@mahdwarka.in
Chikitsa Hospital,,"CHIKITSA HOSPITAL, Pramod Mahajan Marg, opposite Gyan Bharati School, B - 4, Saket, New Delhi, Delhi 110017, India","+91 11 4166 4443, ",
Mansaram Hospital,http://www.mansaramhospital.com/,"Najafgarh Rd, Ram Nagar Colony, Ram Nagar, Nangloi, New Delhi, Delhi, 110041, India","+91 82858 53737, +91 8285853737",info@mansaramhospital.com
Avanitka Multispecialty Hospital,,"G241, Ram Nagar, G.F., Pocket-00 A-241, Sir Chotu Ram Marg, Division, Pocket 6, Sector 2, Rohini, New Delhi, Delhi 110085, India","+91 98714 99959, ",
Deep Chand Bandhu Hospital,,"Ashok Vihar Rd, Kokiwala Bagh, Phase 4, Ashok Vihar IV, Ashok Vihar, New Delhi, Delhi, 110052, India","+91 11 2730 5950, ",
Tirath Ram Shah Hospital,https://www.trsch.com/,"2A Isher Das Sawhney Marg Near Tis Hazari Metro Station R.B.L, Battery Ln, Civil Lines, New Delhi, Delhi 110054, India","+91 11 4553 8484, +91 85 779 779 00",info@trsch.com
Ck Birla Hospital,,"P4FW+HWW, Gobind Kunj, Gobind Mohalla, Haiderpur, Shalimar Bagh, New Delhi, Delhi, 110088, India","+91 85859 98816, ",
Base Hospital Delhi Cantt,,"J46P+678, Off, Mahatma Gandhi Rd, Kirby Place, Delhi Cantonment, New Delhi, Delhi 110010, India",", ",
"Apollo Cradle Maternity & Children's Hospital in Moti Nagar, New Delhi",https://www.apollocradle.com/our-centres/hospital-in-moti-nagar-delhi/?utm_source=Google&utm_medium=GoogleMap&utm_campaign=GoogleMapMotiNagar,"15 A, Najafgarh Rd, Moti Nagar, Karampura Industrial Area, Moti Nagar, New Delhi, Delhi, 110015, India","+91 1860 500 4424, 1860-500-4424",cs@apollohl.com
Mediom Hospital,,"39, Delhi, New Delhi, Delhi 110006, India","+91 87000 34654, ",
DIYOS Hospital,https://diyoshospital.com/,"A1/26, adjacent to Green Fields Public School, Safdarjung Enclave, New Delhi, Delhi 110029, India","+91 99101 20836, -119846",info@diyoshospital.com
Shivam Hospital,,"84, Delhi, New Delhi, Delhi 110035, India","+91 82956 42029, ",
Barkat Ram Memorial Hospital,,"A1, 54, Main, Hastsal Rd, Block A 1, Uttam Nagar, New Delhi, Delhi, 110059, India","+91 99997 43334, ",
PATEL HOSPITAL,https://patelhospitalburari.business.site/,"51/4, Pradhan Enclave, A Block, Pradhan Enclave, Burari, Delhi, 110084, India","+91 98107 13676, ",
Guru Gobind Singh Govt Hospital,http://www.delhi.gov.in/wps/wcm/connect/doit_health/Health/Home/Hospitals/Guru+Gobind+Singh+Hospital/,"Raghubir Nagar, Tagore Garden Extension, New Delhi, Delhi, 110027, India","+91 11 2354 3807, ",
Parmarth Mission Hospital,,"23/7, Inder Chandra Shastri Marg, Block 23, Shakti Nagar, Delhi, 110007, India","+91 97176 97979, ",
Gera Hospital,,"83, Delhi, New Delhi, Delhi 110035, India","+91 93513 02110, ",
