Name,Address,Contact Number,email,Website Link
B Ed Admission in Delhi | B Ed Course in Delhi | B Ed College in Delhi | B.ed admission 2023 - LBET College,"C-8/551, Sector-8, Main Madhuban Chowk, opposite Metro Pillar No.-374, Rohini, Delhi, 110085, India","+91 98910 72246, -9891072155",info@lbetcollege.in,https://lbetcollege.in/
THE GLOBAL Educational Institute,"I, HO.NO. J, Tagore Park Rd, near CANARA BANK, Model Town, Delhi, 110009, India","+91 92056 56156, 099580 07575",,https://the-global-educational-institute.business.site/?utm_source=gmb&utm_medium=referral
THE GLOBAL Educational Institute ( TOP / BEST 5 / 10 COACHING / INSTITUTES CLASS Ist -XIIth NEAR ME / MY / YOUR AREA IN DELHI,"INDIRA VIKAS COLONY Near nirankari public school MUKHERJEE NAGAR BHAI PARMANAND COLONY, Dhaka Village, GTB Nagar, New Delhi, Delhi 110009, India","+91 99580 07575, 099580 07575",,https://theglobaledu-in.business.site/
Scholars Group of Education - Best B.Ed College in Delhi | Best D.EI.Ed college in Delhi,"Building No.4, 1st Floor, Park End Rd, Enclave, Preet Vihar, Delhi, 110092, India","+91 11 2250 3001, ",,
"B.ed institute in Delhi, Get B.ed Admission 2021 in Delhi","J - 1/164, Rajouri Garden, Near Prem Di Hatti, New Delhi, Delhi 110027, India","+91 70535 07348, 9212441844",8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,https://www.ipwdelhi.com/contact-indoss
Kamal Institute of Higher Education And Advance Technology,"K-1 Extn, Mohan Garden Near Nawada & Dwarka Mor Metro Station, Uttam Nagar, New Delhi, Delhi 110059, India","+91 77018 23166, 770 182 3166",info@kamalinstitute.com,https://www.kamalinstitute.com/
Good Year Education Institute in Uttam Nagar,"13, Nawada Extension Near Nawada Metro Station Pillar No. 21, New Delhi, Delhi 110059, India",", ",,
"StarEdu Education & Training Institute (Head Office), Tilak Nagar, Delhi","4A/16, Third Floor, Tilak Nagar, New Delhi, Delhi 110018, India","+91 99900 19239, 999 001 9177",info@staredu.in,http://staredu.in/
WET INSTITUTE,"C-39, 3rd FLOOR MILAP NAGAR, near HIMALAYA SAGAR RESTAURANT, Uttam Nagar East, New Delhi, Delhi 110059, India","+91 97187 07000, +91 9312650500",universitydunia.in@gmail.com,https://universitydunia.in/
National Institute of Dream Education,"B132, Gali number 4, Chowk, Durga Puri, Delhi 110032, India","+91 89207 27222, 2022308001",shrijieducationalfoundation@gmail.com,https://shriji.org.in/
Management Education & Research Institute (MERI),"52-55, Sewa Marg, Janakpuri Institutional Area, Janakpuri, New Delhi, Delhi, 110058, India","+91 95553 69369, 095553 69369",meribs@meri.edu.in,https://meri.edu.in/meri
Sir George Williams Education Institute,"National Council of YMCA, Jai Singh Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India","+91 88268 58592, ",,
IN-SERVICE TEACHER EDUCATION INSTITUTE,"M8R8+835, EDMC School Complex, GTB Enclave, Dilshad Garden, Rd Number 69, Delhi, 110093, India",", ",info@techmahindrafoundation.org,https://techmahindrafoundation.org/ITEI/
Higher Education Entrance Preparation,"Ground Floor, Shree Kedar towers, Plot No-1, behind Chattarpur temple, Chhatarpur, New Delhi, Delhi 110074, India","+91 98111 69884, +91 8448187220",edu.high2020@gmail.com,http://www.highereducation.org.in/
"Department of Education, University of Delhi","33, Chhatra Marg, near School of Open Learning, New Delhi, Delhi, 110007, India",", 011-27667509 , 27667030",head.dean@cie.du.ac.in,https://cie.du.ac.in/
"B.Ed Admission 2023-25, B.Ed College in Delhi Gurgaon, B.Ed from Govt. Collage, MDU","71, Second Floor, Main Road,, Kingsway Camp, New Delhi, Delhi 110009, India","+91 98188 80507, 8376833752",krishnainstitute1995@gmail.com,http://krishnainstitute.co.in/b-ed-institute-delhi.html
EDU Institute,"D-48, Jharoda Burari Marg Jharoda Extension Part 1, Surender Colony, Jharoda, Jharoda Majra Burari नई दिल्ली, Jharoda Burari Marg, Jharoda Extension Part 1, Surender Colony, Jharoda, Jharoda Majra Burari, नई दिल्ली, Delhi, 110084, India","+91 97188 78481, ",,
"IPW Institute - B.Ed, NP.TT Admission Open 2023","J-198 ,Rajouri garden ,opposite Kukreja Hospital, Delhi, 110027, India","+91 92124 41843, 9212441844",8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,http://www.ipwdelhi.com/
Lakshya Educational Institute,"73/6, Block BD, West Shalimar Bagh, Shalimar Bagh, New Delhi, Delhi, 110088, India",", ",nagadhruwanaveen@gmail.com,https://lakshya-educational-institute.ueniweb.com/?utm_campaign=gmb
NIEST INSTITUTE DELHI,"A-1187- 88, GD Colony, Block A, Mayur Vihar Phase III, Gharoli, New Delhi, Delhi, 110096, India","+91 98188 57877, ",,
Noble Institute of Professional Studies - Admission 2024,"13 Central Market, Ashok Vihar Phase 1 Rd, Delhi, 110052, India","+91 92122 23500, +91 9212223500, 921222390",nipswebmail@gmail.com,https://nipsedu.com/
"Sky B.Ed college (Bachelor of Education), Delhi NCR","Sky Education ,A-146, 3rd floor , chaudhary chambers, main vikas marg,, near metro pillar -39, Shakarpur, Laxmi Nagar, Delhi, 110092, India","+91 98730 42303, 9205220102",skyeducation001@gmail.com,http://www.skyeducation.co.in/
Delhi Educational Institute for Teachers,"39, Lala Jagat Narayan Marg, Nishant Kunj, Dakshini Pitampura, Pitampura, Delhi, 110034, India","+91 96243 65988, ",,
Indian Institute of Professional Education(IIPE),,"+91 99100 79903, ",,http://www.facebook.com/iipedelhi
Institute of Advanced Studies (IASE),"H75Q+XRQ, 272, TTI Rd, Gulmohar Enclave, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",", +91(11)26981717, 26984617",,http://jmi.ac.in/iase
UNIQUE EDUCATION INSTITUTE (Trust Regd. Since 2009),"H-694, GF/FF, Ramphal Chowk Rd, opp. J & K BANK, Sector 7 Dwarka, New Delhi, Delhi 110077, India","+91 92787 10501, -9278710410",unique.edu014@gmail.com,http://www.uniqueeducationinstitute.com/
ITTP B.ed Course Admission MDU Haryana,"2nd Floor, Pocket D, Plot No -185, 12, Sector 7, Rohini, Delhi, 110085, India","+91 92123 00058, 9212300054",ittpdelhi@gmail.com,https://www.ittp.co.in/
Aiicce (All India Institute of Child Care and Education),"PVR Complex, 205 2nd Floor, Gupta Tower 1, near Sonia, Block G, Vikaspuri, New Delhi, Delhi 110018, India","+91 11 4576 8775, ",,http://www.aiicce.org/
Sky Education Distance Education Institute in Delhi NCR,,"+91 92052 20102, -8750800723",,http://sky-education-distance-education-institute.business.site/
District Institute Of Education And Training,"51/29, Block 57, Rajinder Nagar, New Delhi, Delhi, 110060, India",", ",,
B.ED Admission in Delhi-City Educare,"No. 2 of, Metro Station South Extension, E-20, FIRST FLOOR South Extension, Block-E Near Metro Station South Extension I Exit from Gate, New Delhi, Delhi 110049, India","+91 81309 10977, ",,https://www.south.cityeducare.com/
EDU-Junction - Best CA CS CMA Classes Coaching in Kalkaji NewDelhi,"G-31 2nd Floor, Block-G, opposite Mc-Donald's, Block DD, Kalkaji, New Delhi, Delhi 110019, India","+91 85888 19426, (+91) 858-881-9426",edujunctionk@gmail.com,https://edu-junction.com/
Education After 12th,"Shiv Shakti Mandir, JU 53 C Behind, Pitampura, New Delhi, Delhi 110034, India","+91 98114 36570, ",,http://educationafter12th.com/
Central Institute of Educational Technology NCERT,"National Council of Educational Research and Training, Sri Aurobindo Marg, NCERT Campus, Katwaria Sarai, New Delhi, Delhi 110016, India","+91 11 2696 2580, +91 8800440559",dceta.ncert@nic.in,http://ciet.nic.in/
Rai's Institute Of English And Computer (Rioel Education),"WZ 242 , 2nd Floor(Above Patanjali Store Inder Puri Near NDPL office and, Main Gate, Pusa, New Delhi, Delhi 110012, India","+91 99584 94999, ",,
Delhi Institute Of Advance Studies,"P3PH+VPV, Deep Vihar Rd, Sector 32, Rohini, Delhi, 110042, India","+91 11 2793 2742, 9355990931",dias@dias.ac.in,https://dias.ac.in/
Institute Of Professional Education,"Y-13, U Block Rd, Block H, Budh Vihar Phase I, Budh Vihar, Delhi, 110086, India","+91 93125 90087, ",,
Laxmi Institute Of Professional Studies,"1st Floor, 100/28 Shiva Tower Rohini, Sector 9, New Delhi, Delhi 110085, India","+91 95556 66295, ",,
A-SET Training & Research Institutes,"7, 56, Desh Bandhu Gupta Rd, Block 57, Karol Bagh, New Delhi, Delhi, 110005, India","+91 78408 00700, ",,
Central Institute Of Education Delhi University,"33, Chhatra Marg, New Delhi, Delhi, 110007, India",", ",,
Lukas Education Institute,"WZ-20, Possangi Pur Mkt, near Sunil Dairy, C-2, Janakpuri, New Delhi, Delhi 110058, India","+91 93501 13120, 9350113120, 888282000",lukaseducationsociety@gmail.com,http://lukaseducationinstitute.in/
…,,", ",,
GEETA UNIVERSITY - DELHI OFFICE,"156, FIRST FLOOR, opp. METRO PILLAR NO 355, Kapil Vihar, Pitampura, Delhi, 110034, India","+91 86848 91000, 9278768000",librarian@geetauniversity.ac.in,http://www.geetauniversity.edu.in/
"Vidya Jyoti Teachers Academy - B.Ed, M.Ed, JBT, DIET, D.Ed, D.El.Ed","Ground Floor, Double Storey, 15/4, Street No. 4, near Metro Gate, Prem Nagar, Tilak Nagar, New Delhi, Delhi, 110018, India","+91 98688 09500, -8376977434",,https://www.vjcbedcollege.com/
INTERNATIONAL INSTITUTE OF ADULT & LIFELONG EDUCATION,"IAEA House, 17-B, I.P. Estate, New Delhi, Delhi 110002, India","+91 98713 20150, 91-11-23379306, 23378436",drsyshah@gmail.com,http://iiale.org/
Aryawart College Of Education,"P479+72R, Pocket 17, Sector 7H, Rohini, New Delhi, Delhi, 110085, India","+91 92122 39798, -9212239707",collegearyavart@gmail.com,https://www.aryawartcollege.com/
Imarticus Learning Delhi,"Ground Floor, H Block, H-16, Middle Cir, Connaught Place, New Delhi, Delhi 110001, India","+91 99538 94060, ",info@imarticus.com,https://imarticus.org/delhi/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
District Institute of Education and Training,"J6VV+PG5, Ansari Rd, Daryaganj, New Delhi, Delhi, 110002, India","+91 11 2327 5569, ",,
Sri Ram Institute of Teacher Education,"Village Bamnoli, Sec – 28, Dwarka, Delhi, 110077, India","+91 98732 49998, 011-65979722",info@srite.in,http://www.srite.in/
SIGNATURE INSTITUTE PRIVATE LIMITED-Best Coaching Institute In Munirka-NEET/JEE/9 to 12 Classes In Munirka,"1st Floor, Upstairs Of Bank Of Baroda, D-2/211, Munirka, New Delhi, Delhi 110067, India","+91 70079 19087, 917007919087",info@signatureinstitute.in,http://www.signatureinstitute.in/
Lal Bahadur Shastri Training Institute,"E-481, First Floor, New Ashok Nagar, Vasundhara Enclave, New Delhi, Delhi 110096, India","+91 95821 36729, -9311959969",info@lbsti.org,http://www.lbsti.org/
DICS Computer Institute - Delhi Head Office - Best computer Institute in Delhi,"2512, First Floor, Hudson Ln, Kingsway Camp, GTB Nagar, New Delhi, Delhi 110009, India","+91 93130 44014, 011-27115185, 27243451",dics.ho@gmail.com,http://www.dicsindia.in/
Eiglewings Educational Institute | Tuition for Playway to 12th Class & English classes,"House Number 393, Housing Complex, Dwarka, Nishat Park, Sector 15 Dwarka, Kakrola, Delhi, 110073, India","+91 75039 09322, ",,http://www.eiglewings.in/
Asian Institute of Management Science & Research,"Laxman Plaza, 304, Munirka, New Delhi, Delhi 110067, India","+91 11242628954, ",,
Vivekananda Institute of Professional Studies,"Outer Ring Rd, AU Block, Ranikhet, Pitampura, New Delhi, Delhi, 110034, India","+91 11 2734 3403, +91 9319299512, 931929951",vipsedu@vips.edu,http://vips.edu/
L.C College Of Education,"NEAR NANGLOI METRO STATION, INDRA JHEEL,G-BLOCK, SULTANPURI, S.P. Rd, near MD MEMORIAL PUBLIC SCHOOL, Nangloi, New Delhi, Delhi 110086, India",", 9990237009, 874508232",,http://www.lcce.co.in/
IICS Computer Education,"Metro Pillar Number 4, B-38 2nd Floor, Lajpat Nagar Part 2, near Metro Station, Delhi 110024, India","+91 11 4650 9891, 91-9540299944",iicscomputereducation@gmail.com,https://www.iicsindia.com/
TATA DELHI INSTITUTE,"Block C, Maurice Nagar, Roop Nagar, Delhi, 110007, India","+91 74930 69791, ",,
SWAMI VIVEKANAND INSTITUTE OF VOCATIONAL STUDIES,"C 105 BUDHELA SITE-4, VIKAS PURI, New Delhi, Delhi 110018, India","+91 92111 76282, ",,
Best computer Institute in Viswas Nagar - ARTH,"street no 14, 28/12, main, 60 Feet Rd, Vishwas Nagar, Shahdara, Delhi, 110032, India","+91 97180 16699, +91 9205631157",info@artheducation.com,https://www.artheducation.com/
RISHABH INSTITUTE,"Pocket 4, Khudi Ram Bose Marg, near Mayur Vihar Phase 1 Metro Station, Pocket 4, Mayur Vihar, Delhi, 110091, India","+91 11 2275 2055, ",,http://rishabhinstitute.in/
Delhi Course Institute,"Progressive Chamber ,G-1,D-Block,Central Market, Pvr Prashant Vihar Road, Prashant Vihar, Rohini, New Delhi, Delhi 110085, India",", +91 9540404843",info@delhicourses.in,https://delhicourses.in/
Educational Institute,"Gate Number 2, Metro Station, F 76, beside Foot over bridge, Saidulajab, Block H, Saket, New Delhi, Delhi 110030, India",", ",,
IIMPS pvt Ltd - DISTANCE LEARNING COURSE FOR PAN INDIA | IELTS CONSULTANT | STUDY VISA IN INDIA | STUDY ABROAD,"B-15, Block-B, Shankar Garden, Vikaspuri, Delhi, 110018, India","+91 11 4100 5174, 91-9560847272",info@iimps.in,https://iimps-pvt-ltd.business.site/
Kasturi Ram College of Higher Education,"Narela Mandi, Narela, New Delhi, Delhi, 110040, India","+91 88028 41785, 011-27787132",krcollege@krcollege.in,http://www.krcollege.in/
Kelvin Institute,"B, 1/4 A, Yamuna Vihar Rd, Block B, Yamuna Vihar, Shahdara, Delhi, 110053, India","+91 96588 85888, ",,
Lal Bahadur Shastri Training Institute,,"+91 11 4520 1028, -9311959969",info@lbsti.org,http://www.lbsti.org/
Achievers Institute of Computer Education,"L-18 First Floor, Som Bazar Rd, above Laxmi Stationery, Raja Puri, Uttam Nagar, New Delhi, Delhi 110059, India","+91 81782 67412, 8178267412",achievers.edu15@gmail.com,http://achieversedu.in/
Education Hub : Institute of Science & Mathematics,"I-2 Block, Gali Number 10, Gupta Colony, Block 2, Devli, Sangam Vihar, New Delhi, Delhi 110080, India","+91 75034 19202, 075034 19202",,https://educationhub-instituteofscienceandmathematics.business.site/
AADHAR INSTITUTE OF SPECIAL EDUCATION AND REHABILITATION CENTER,"B1/94, near GEETA BHARTI PUBLIC SCHOOL, Phase 2, Ashok Vihar, Delhi, 110052, India","+91 98993 11295, ",,
District Institute of Education and Training,"H5JC+98C, Baba Balak Nath Mandir Marg, near School Of Open Learning, Block C, Nanak Pura, Moti Bagh, New Delhi, Delhi 110021, India","+91 11 2687 6440, ",,
Delhi Institute Of Education,"P72C+9RC, C1 Block, Block B, Yamuna Vihar, Shahdara, Delhi, New Delhi, Delhi 110053, India","+91 92055 15021, ",,
National Institute best ITI Delhi Uttam Nagar,"A-68 SHIVAJI MARG, PANKHA ROAD, UTTAM NAGAR, NEW DELHI, 59, Delhi, 110059, India","+91 98188 01464, 8448726524, 981880146",info@ncvtdelhi.co.in,http://ncvtdelhi.co.in/
Disha Academy,"116 Basement Mall Road Near GTB Nagar Metro Station Gate No 3, Delhi 10009 G T B Nagar, Mukherjee Nagar, Delhi, 110009, India","+91 93548 88970, ",,
Delhi Education,"1449/6, Durgapuri Chowk, Loni Rd, Durgapuri Extension, Shahdara, Delhi, 110093, India","+91 97113 88456, 8448440632",,http://www.edudel.nic.in/
Distance Learning Courses in Delhi NCR,"D 35, beside Kukreja Hospital, Block B, Acharya Niketan, Mayur Vihar, New Delhi, Delhi, 110091, India","+91 98104 64711, 9810-4647-11, 8800",ceiinstitute@gmail.com,http://distance.ceieducation.in/
Trinity Institute of Professional Studies,"Sector 9, Dwarka, Dwarka Institutional Area Near Metro Pillar No.1160, Dwarka, New Delhi, Delhi 110075, India","+91 11 4563 6922, -9315911618",tips@tips.edu.in,https://www.tips.edu.in/
Rashtriya Sikshan Sansthan,"16/158, Shastri Nagar, Geeta Colony, Delhi, 110031, India","+91 87008 38669, ",,
AIT institute of computer education,"gali no - 3, salahapur khera , bijwasan , new delhi, Delhi, 110061, India","+91 93541 08616, +91 9354108616",info@aitinstitute.com,https://aitinstitute.in/
COMM-IT CAREER ACADEMY,"Awadh Bhawan FC-31, Institutional Area, Press Enclave Marg, near Puspawati Singhania Hospital, Phase II, Sheikh Sarai, New Delhi, Delhi 110017, India","+91 99999 30528, ",principal-commit@awadh.org.in,http://commit.org.in/
SGM INSTITUTE,"Tekhand, Okhla Phase I, Okhla Industrial Estate, New Delhi, Delhi 110020, India","+91 70535 93636, ",,
Institute for Science and Spirituality Delhi,"386, Kailash Rd, Garhi, East of Kailash, New Delhi, Delhi 110065, India","+91 99710 29784, -129403",first.last@email.com,https://issdelhi.org/
Aakashline Institute Of Professional Studies,"21, Main 100 Feet Rd, Main Durga Puri, Jyoti Nagar West, Block A, Durga Puri, Shahdara, Delhi, 110093, India",", ",,
DELHI INSTITUTE OF MANAGEMENT AND ENGINEERING STUDIES,"OFFICE T-301 & 307 ,Third Floor A Square Plaza, Dwarka, New Delhi, Delhi 110075, India",", ",,http://dimes.in/
Drishhti institute,"41 / 7, Chander Vihar, Nilothi Extn, 3, Delhi, 110041, India","+91 98111 07549, -170257",info@drishhtiinstitute.org,https://www.drishhtiinstitute.org/
INDIAN INSTITUTE OF OPEN SCHOOLING EDUCATION,"F-445, 1ST FLOOR, Karam Pura, New Delhi, Delhi 110015, India",", ",infoiiosein@gmail.com,http://iiose.in/
Zakir Husain Centre For Educational Studies,"Jawaharlal Nehru University, New Delhi, Delhi 110067, India","+91 98682 69900, 011-26704120",cpio@mail.jnu.ac.in,https://www.jnu.ac.in/sss/zhces
Delhi Institute Of Education,"Neelam Vihar, Gf-78, Sector-14, Kaushambi, Kaushambi, Ghaziabad, Uttar Pradesh 201004, India","+91 11 2244 0955, ",,
IPSR(Institute Of Paramedical Sciences & Research),"IPSR Nursing College, 192, near Chandan Complex, Asola, Fatehpur Beri, New Delhi, Delhi 110074, India","+91 96257 81374, 011- 35967402",principalipsr74@gmail.com,http://ipsrnursingcollege.com/
Fact Education,"G-131,Bandh Road Near Veer Bazar, Sangam Vihar, Delhi 110080, India","+91 99539 03212, ",,
SATHi Computer Training Institute,"MAIN Road, near bus stand, Amrit Vihar, Indraprasth Colony, Burari, Delhi, 110084, India","+91 75037 84414, 075037 84414",,https://sathi-computer-training-institute.business.site/
Delhi Institute of Public Speaking,"Add: 27-K, 2nd Floor, Landmark: Kotak Mahindra ATM, near IIT Metro Station, Jia Sarai, Hauz Khas, New Delhi, Delhi 110016, India","+91 97737 33799, 9773733799",info@dipsclasses.com,https://dipsclasses.com/
ARYAN IIT INSTITUTE,"Pkt-27, first floor, Plot no 110, above Canara Bank, Pocket 27, Sector-24, Rohini, New Delhi, Delhi, 110085, India","+91 98714 23852, +91 9871423852",aryaninstitute7430@gmail.com,http://aryaninstitute.in/
Delhi Institute of Rural Development - DIRD,"GT Karnal Rd, Nangli Puna, New Delhi, Delhi, 110036, India","+91 11 6543 3333, ",,http://www.dirdcollege.com/
In-service teachwr education institute,"M5HR+PXJ, Shakti Mandir Marg, Block 22, Shakti Nagar, Delhi, 110007, India",", ",,
Itvedant Pvt Ltd Delhi,"F - 13, Ground Floor, opp. Manav Medicare Center, South Extension I, Block F, New Delhi, Delhi 110049, India","+91 92050 04404, +91 9205004404",yourname@gmail.com,https://www.itvedant.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-listing-Delhi
Jetking South Ex | Networking | Cloud Computing | Cyber security Course | Institute in Delhi,"F-38 , Second Floor, Infront of McDonald Part 1, South Extension I, Block F, New Delhi, Delhi 110049, India","+91 11 4106 8989, 7666830000",info@jetking.com,http://www.jetking.com/
theeducationindia.com,"flat 38 type 5 appartment, Lodhi Rd, New Delhi, Delhi 110003, India","+91 95601 29783, +91 95601 29783",guaravmandaldesign@gmail.com,https://www.theeducationindia.com/
Institute of International Education - IIE India,"J-19, First Floor, Kaushalya Park, Hauz Khas Enclave, New Delhi, Delhi 110016, India","+91 11 4663 1434, +1.212.883.8200",jvisasponsorship@iie.org,https://www.iie.org/Why-IIE/Offices/New-Delhi
Educational,,", ",,
PRAGATI B Ed INSTITUTE South Delhi,"C/O Origin Tutorials, B 65 (Basement, Lajpat Nagar II, Delhi 110024, India","+91 99582 55700, ",,
"ER NIKHIL EDUCATION CENTRE (11TH PYTHON CBSE ,12TH PYTHON CBSE ,INFORMATICS PRACTICES ,COMPUTER SCIENCE,PYTHON JOB PREPARATION ,C++ , JAVA , INSTITUTION, TUTOR)","311, 2, Gali No. 2, Than Singh Nagar, Karol Bagh, New Delhi, Delhi, 110005, India",", 072900 66150",,https://nik-tech-education-centre-11th-python-cbse.business.site/?utm_source=gmb&utm_medium=referral
Pratham Education - Connaught Place,"Gate No 6, Metro Station Exit from, New Delhi House, 205, 2nd Floor, Barakhamba Rd, Connaught Place, New Delhi, Delhi 110001, India","+91 99537 59131, +91- 99999 75392",info@prathamonline.com,http://www.prathamonline.com/
Delhi Teacher Training College,"Delhi Teachers Colony, Dindarpur, Najafgarh, Delhi, 110043, India","+91 11 2502 6529, 0091-9818974825",dttc_teacher@yahoo.com,https://www.dttcollege.org/dttc.php?id=Contact%20Us
Swami Vivekanand Institute of Engineering & Technology,"A-25, Sainik Enclave, Near Balaji Chowk Hastsal, P.O Uttam Nagar New Delhi Vikash Nagar, Hastsal, New Delhi, Delhi 110059, India","+91 99117 60382, 91-9911760382, 999076158",shrikanttiwari224@gmail.com,https://swamivivekanandengg.com/
"DSCS-Computer Classes, Tally, Adv.Excel C,C++,Training Institute in Laxmi Nagar","A-118, 2nd Floor, Metro Pillar No.35, Main, Vikas Marg, opp. Raymond Showroom, Laxmi Nagar, Shakarpur, New Delhi, Delhi 110092, India","+91 83778 41317, -8377841226",info@dscsdelhi.com,https://dscsdelhi.com/
T.I.M.E.,"F-09, First FLOOR, above OPTIMA MART, East of Kailash, New Delhi, Delhi 110065, India","+91 98119 51804, ",info@time4education.com,http://www.time4education.com/
Asia-Pacific Institute of Management,"3 & 4, GD Birla Marg, Institutional Area, Jasola, New Delhi, Delhi 110025, India","+91 1800 11 3334, 1800113334",admission@asiapacific.edu,https://www.asiapacific.edu/
