title,placeUrl,website,status,subtitle,rating,reviewCount,category,address,phoneNumber,searchQuery,email,phoneFromWebsite
Omni Hospital,https://www.google.com/maps/place/Omni+Hospital/data=!4m7!3m6!1s0x390fedb100000027:0x5f8b257a36649eb1!8m2!3d30.7217605!4d76.7668392!16s%2Fg%2F1v3kfwxm!19sChIJJwAAALHtDzkRsZ5kNnoli18,https://omnihospitals.in/,Data found,,3.7,60,General hospital,"Sco 343-345 Infront of Gurutegh Bahadur Gurudwara, Sector 34A, Chandigarh, 160022, India",+91 172 264 5777,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,8880101000
Tera Hi Tera Mission Hospital,https://www.google.com/maps/place/Tera+Hi+Tera+Mission+Hospital/data=!4m7!3m6!1s0x390fed36ce0f19ad:0xb0b7e9357ca275d9!8m2!3d30.7048686!4d76.7592749!16s%2Fg%2F11k1kjq7hq!19sChIJrRkPzjbtDzkR2XWifDXpt7A,,No website found,,3.9,223,Hospital,"Sco 138, opposite E Sampark Center, Sector 45C, Sector 45, Chandigarh, India",+91 98887 00113,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
New Chandigarh Hospital,https://www.google.com/maps/place/New+Chandigarh+Hospital/data=!4m7!3m6!1s0x390ff231c54812bd:0x7080dfbdf7a1d5f2!8m2!3d30.7990117!4d76.7459891!16s%2Fg%2F11hbfjcm_j!19sChIJvRJIxTHyDzkR8tWh973fgHA,,No website found,,4.3,40,Private hospital,"Mullanpur Garibdass, Punjab 140901, India",+91 98881 18800,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Chopra Hospital And Diagnostic Centre,https://www.google.com/maps/place/Chopra+Hospital+And+Diagnostic+Centre/data=!4m7!3m6!1s0x390f9331c9e54687:0x8dac3f100798fd0b!8m2!3d30.7126746!4d76.8341413!16s%2Fg%2F125_wyfx3!19sChIJh0blyTGTDzkRC_2YBxA_rI0,,No website found,,3.8,42,Hospital,"Chopra Hospital 781/1, opp. Kalagram, Gobind Pura, Modern Housing Complex, Sector 13, Chandigarh, 160101, India",,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
CHD City Hospital - 24 Hours Emergency Hospital | ICU | Ortho Doctor | Piles Doctor | Hernia Surgery in Chandigarh,https://www.google.com/maps/place/CHD+City+Hospital+-+24+Hours+Emergency+Hospital+%7C+ICU+%7C+Ortho+Doctor+%7C+Piles+Doctor+%7C+Hernia+Surgery+in+Chandigarh/data=!4m7!3m6!1s0x390fed959ea1c2a9:0x9cfc8f9780f2ce27!8m2!3d30.7403272!4d76.7923556!16s%2Fg%2F11h6rrk_cl!19sChIJqcKhnpXtDzkRJ87ygJeP_Jw,https://chdcityhospital.com/,Data found,,4.7,123,Hospital,"SCO 10, 11, Madhya Marg, Sector 8C, Sector 9, Chandigarh, 160009, India",+91 75080 08117,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",info@chdcityhospital.com,+91 9779712323
Mukat_Hospital - Best Hospital in Chandigarh | Gallbladder Surgery Hospital | Piles Surgery | Hernia Surgery,https://www.google.com/maps/place/Mukat_Hospital+-+Best+Hospital+in+Chandigarh+%7C+Gallbladder+Surgery+Hospital+%7C+Piles+Surgery+%7C+Hernia+Surgery/data=!4m7!3m6!1s0x390fed90fdcc69ff:0xc7429d10faca5dad!8m2!3d30.7228089!4d76.7702606!16s%2Fg%2F11srwxzkt8!19sChIJ_2nM_ZDtDzkRrV3K-hCdQsc,https://www.mukathospital.com/,Data found,,4.9,34,Hospital,"S.C.O 47, 48, 49, A, Dakshin Marg, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 172 434 4444,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",admin@mukathospital.com,9023-88-4444
Fortis hospital,https://www.google.com/maps/place/Fortis+hospital/data=!4m7!3m6!1s0x390fede1040a7ca7:0x4865d99d3ac9840e!8m2!3d30.6783493!4d76.7884803!16s%2Fg%2F11fjtvn7zk!19sChIJp3wKBOHtDzkRDoTJOp3ZZUg,https://www.fortishealthcare.com/,Data found,,3.3,13,Hospital,"Chandigarh Airport Area, Chandigarh, 160003, India",+91 172 506 1222,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
"Motherhood Chaitanya Hospital - Sector 44, Chandigarh","https://www.google.com/maps/place/Motherhood+Chaitanya+Hospital+-+Sector+44,+Chandigarh/data=!4m7!3m6!1s0x390fec346aaaaaab:0x44ed6b196913f7fd!8m2!3d30.7106261!4d76.7542968!16s%2Fg%2F11c0phlw_z!19sChIJq6qqajTsDzkR_fcTaRlr7UQ",https://motherhoodchaitanya.com/?utm_source=gmb_mhc&utm_medium=localseo&utm_campaign=homepage,Data found,,4.7,2384,Children's hospital,"Hospital Site 1 And 2, Sarovar Path, 44C, Sector 50, Chandigarh, 160047, India",+91 172 508 8088,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",writetous@motherhoodindia.com,0172-5088088
Ayu Health Hospitals - Ayushman Bharat Empanelled,https://www.google.com/maps/place/Ayu+Health+Hospitals+-+Ayushman+Bharat+Empanelled/data=!4m7!3m6!1s0x390fedf9d0cd5a6b:0xcd260fe8ce7ca51e!8m2!3d30.715111!4d76.7720329!16s%2Fg%2F11fss_0llg!19sChIJa1rN0PntDzkRHqV8zugPJs0,https://ayu.health/chandigarh/hospital/ayu-health-multispeciality-hospital-33a-sector-33-2?utm_source=google&utm_medium=organic&utm_campaign=GMB_sector-33,Data found,,4.7,168,Hospital,"33A, Sector 33, Chandigarh, 160020, India",+91 731 485 5513,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",contact@ayu.health,+91 636-610-0800
Kaushal Hospital,https://www.google.com/maps/place/Kaushal+Hospital/data=!4m7!3m6!1s0x390fedd1de7e8007:0x21591b315bfbfa0d!8m2!3d30.7228043!4d76.7447849!16s%2Fg%2F11g9qf95s6!19sChIJB4B-3tHtDzkRDfr7WzEbWSE,,No website found,,3.9,10,Hospital,"SCO 49, Sector 42 C, Chandigarh, 160036, India",+91 98557 26464,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Mukat Hospital | Top Rated Hospital Chandigarh | Cardiology | Neurology | Nephrology | Urology | Medicine | Gastroenterology,https://www.google.com/maps/place/Mukat+Hospital+%7C+Top+Rated+Hospital+Chandigarh+%7C+Cardiology+%7C+Neurology+%7C+Nephrology+%7C+Urology+%7C+Medicine+%7C+Gastroenterology/data=!4m7!3m6!1s0x390fedb315555551:0x31a8410f96dd6b9!8m2!3d30.7228152!4d76.7703525!16s%2Fg%2F1tk6ywtn!19sChIJUVVVFbPtDzkRudZt-RCEGgM,https://www.mukathospital.com/,Data found,,4.4,1183,Hospital,"S.C.O 47, 49, Dakshin Marg, Sector 34B, Sector 34, Chandigarh, 160022, India",+91 90238 84444,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",admin@mukathospital.com,9023-88-4444
Pandhi Hospital,https://www.google.com/maps/place/Pandhi+Hospital/data=!4m7!3m6!1s0x390fedc8c0367197:0x296beed0797897ec!8m2!3d30.726595!4d76.7523643!16s%2Fg%2F11b8c479gf!19sChIJl3E2wMjtDzkR7Jd4edDuayk,,No website found,,3.8,207,Hospital,"1151, Jan Marg, Near Park, 36C, Sector 36, Chandigarh, 160036, India",+91 73555 41508,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Abhilasha Hospital | Obstetrician and Gynaecologist | Best Maternity Hospital in Chandigarh | Panchkula | Mohali,https://www.google.com/maps/place/Abhilasha+Hospital+%7C+Obstetrician+and+Gynaecologist+%7C+Best+Maternity+Hospital+in+Chandigarh+%7C+Panchkula+%7C+Mohali/data=!4m7!3m6!1s0x390fedb6ffffffff:0x26bbc82c6527b890!8m2!3d30.7280661!4d76.759324!16s%2Fg%2F1trxc2d5!19sChIJ_____7btDzkRkLgnZSzIuyY,http://www.abhilashahospital.in/,Data found,,3.5,63,Hospital,"201, behind Flowers Market, 35A, Sector 35, Chandigarh, 160022, India",+91 77196 84083,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",abhilashahospital201@gmail.com,9877941321
Jindal Hospital,https://www.google.com/maps/place/Jindal+Hospital/data=!4m7!3m6!1s0x390fed98aae2ce11:0x59050961eea2c07f!8m2!3d30.7191048!4d76.7759587!16s%2Fg%2F11hz_3byt2!19sChIJEc7iqpjtDzkRf8Ci7mEJBVk,,No website found,,4.5,19,Hospital,"3050, Dakshin Marg, Sector 20D, Sector 20, Chandigarh, 160020, India",+91 172 491 1000,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
"Max Super Specialty Hospital, Mohali","https://www.google.com/maps/place/Max+Super+Specialty+Hospital,+Mohali/data=!4m7!3m6!1s0x390fee144e36fcd5:0xa254c2b1f858248a!8m2!3d30.7390785!4d76.7150592!16s%2Fg%2F1thtbj5v!19sChIJ1fw2ThTuDzkRiiRY-LHCVKI",https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-mohali?utm_source=D-Organic&utm_medium=gmb&utm_campaign=mohali-profile,Data found,,4.3,5016,Hospital,"Chandigarh Rd, near Civil Hospital, Phase 6, Mo, Chandigarh, Punjab 160055, India",+91 172 521 2000,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
P.G.I. Hospital,https://www.google.com/maps/place/P.G.I.+Hospital/data=!4m7!3m6!1s0x390fedc82fffffff:0x8fffa3a3543256b2!8m2!3d30.7619209!4d76.7745909!16s%2Fg%2F11f53qqy7p!19sChIJ____L8jtDzkRslYyVKOj_48,,No website found,,3.6,131,Hospital,"Government High School, Road, Sector 35D, Sector 35, Chandigarh, 160022, India",,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Life Care Masonic Charitable Hospital,https://www.google.com/maps/place/Life+Care+Masonic+Charitable+Hospital/data=!4m7!3m6!1s0x390fed11dabe12cb:0xdba271ab73389631!8m2!3d30.7359876!4d76.7920629!16s%2Fg%2F1q5bmh2ds!19sChIJyxK-2hHtDzkRMZY4c6txots,,No website found,,4.3,71,Government hospital,"Opposite New Public School, Madhya Marg, Sector 18B, Chandigarh, 160018, India",+91 98766 56939,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Civil Hospital Sector 22,https://www.google.com/maps/place/Civil+Hospital+Sector+22/data=!4m7!3m6!1s0x390feda5b24cdb15:0xe2011cd5e481c9a0!8m2!3d30.7326365!4d76.7707238!16s%2Fg%2F11ckx_9r6n!19sChIJFdtMsqXtDzkRoMmB5NUcAeI,,No website found,,2.8,225,Government hospital,"Sector 22 Market Rd, Sector 22D, Sector 22, Chandigarh, 160022, India",,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Kapoor's Kidney & Urostone Centre Pvt. Ltd.,https://www.google.com/maps/place/Kapoor%27s+Kidney+%26+Urostone+Centre+Pvt.+Ltd./data=!4m7!3m6!1s0x390feda6178c691f:0x2d09cdaacacf8056!8m2!3d30.7028907!4d76.7620014!16s%2Fg%2F1tkbwm2p!19sChIJH2mMF6btDzkRVoDPyqrNCS0,http://kidneyurostonecentre.com/,Data found,,3.7,126,Hospital,"Site No.2, Sukhna Path, Near Gurudwara, Opposite 45-46 Traffic Lights, Sector 46D, Chandigarh, 160047, India",+91 172 263 4811,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,"9915286238, 981400623"
Healing Hospital And Institute Of Paramedical Sciences,https://www.google.com/maps/place/Healing+Hospital+And+Institute+Of+Paramedical+Sciences/data=!4m7!3m6!1s0x390fedae04cf7b79:0xe78fb1f6fe9aa33a!8m2!3d30.7240561!4d76.769382!16s%2Fg%2F11mxn1rzsf!19sChIJeXvPBK7tDzkROqOa_vaxj-c,https://healinghospital.co.in/,Data found,,3.2,29,Hospital,"PQF9+JQC, Sector 34A Rd, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 94643 43434,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",info@healinghospital.co.in,+91 9464343434
THE CLINIC - A unit of Rameshwara Hospital Private Limited -RHPL,https://www.google.com/maps/place/THE+CLINIC+-+A+unit+of+Rameshwara+Hospital+Private+Limited+-RHPL/data=!4m7!3m6!1s0x390fed7b14094845:0xcaf06b120ee817d5!8m2!3d30.7579024!4d76.7845035!16s%2Fg%2F11sn_4phyf!19sChIJRUgJFHvtDzkR1RfoDhJr8Mo,,No website found,,4.2,5,Hospital,"House no.10, Sector 11-A, Sector 11, Chandigarh, 160011, India",+91 97799 92314,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Chhuttani Medical Centre,https://www.google.com/maps/place/Chhuttani+Medical+Centre/data=!4m7!3m6!1s0x390fed0baaaaaaab:0x61c61189e3a25028!8m2!3d30.7401874!4d76.7826268!16s%2Fg%2F1tpf5jgg!19sChIJq6qqqgvtDzkRKFCi44kRxmE,http://www.cmcchandigarh.in/,Data found,,3.3,64,Hospital,"S.C.O 52 - 53 - 54, Bridge Market, 17C, Sector 17, Chandigarh, 160017, India",+91 172 270 2543,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,0172 - 270 2543
Bedi Hospital (Best Mother and Child Care Hospital),https://www.google.com/maps/place/Bedi+Hospital+%28Best+Mother+and+Child+Care+Hospital%29/data=!4m7!3m6!1s0x390fedb32090f169:0xed2bf002a16ede08!8m2!3d30.7175876!4d76.7695011!16s%2Fg%2F1tdq4d5x!19sChIJafGQILPtDzkRCN5uoQLwK-0,http://www.bedihospital.com/,Data found,,4.7,867,Maternity hospital,"182, 33A, Sector 33, A, Chandigarh, 160020, India",+91 80 4577 6776,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",contact@bedihospital.com,+91 8045 776 776
Magnum multi-speciality Hospital,https://www.google.com/maps/place/Magnum+multi-speciality+Hospital/data=!4m7!3m6!1s0x390fedf34de07035:0xb9a3ec7272e71140!8m2!3d30.723655!4d76.760353!16s%2Fg%2F11h1j8kq85!19sChIJNXDgTfPtDzkRQBHncnLso7k,,No website found,,4.0,5,Hospital,"House No 2103 Near Congress Bhavan, 35C, Chandigarh, 160036, India",,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Civil Hospital Sector 45,https://www.google.com/maps/place/Civil+Hospital+Sector+45/data=!4m7!3m6!1s0x390fec4887bab8bf:0xa1e03cc9b0e88eeb!8m2!3d30.704401!4d76.7609153!16s%2Fg%2F11c2nzn5zx!19sChIJv7i6h0jsDzkR647osMk84KE,,No website found,,3.0,173,Government hospital,"1642, V4 Rd, Burail, Burail Village, Sector 45, Chandigarh, 160047, India",+91 172 260 1023,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
"Cosmo Hospital | Multispeciality Hospital and Child Specialist Hospital in Mohali, Chandigarh","https://www.google.com/maps/place/Cosmo+Hospital+%7C+Multispeciality+Hospital+and+Child+Specialist+Hospital+in+Mohali,+Chandigarh/data=!4m7!3m6!1s0x390fee9974b8ceb5:0xd51ba6b758b17a7d!8m2!3d30.6993623!4d76.7273818!16s%2Fg%2F12cp38lh1!19sChIJtc64dJnuDzkRfXqxWLemG9U",,No website found,,4.1,162,Private hospital,"Cosmo Hospital, Sector 62, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 90564 44465,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Civil Hospital,https://www.google.com/maps/place/Civil+Hospital/data=!4m7!3m6!1s0x390f933b70683ce9:0xe1cb4161a4fe0e32!8m2!3d30.7127379!4d76.8424016!16s%2Fg%2F1vkxkncm!19sChIJ6TxocDuTDzkRMg7-pGFBy-E,,No website found,,3.1,169,Government hospital,"PR7R+3XR, Sector 13, Chandigarh, Panchkula, Chandigarh 160101, India",+91 172 275 1004,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Government Medical College & Hospital,https://www.google.com/maps/place/Government+Medical+College+%26+Hospital/data=!4m7!3m6!1s0x390fed968a7d9e1b:0xd77ca930c4f5778f!8m2!3d30.6884523!4d76.7548509!16s%2Fg%2F11f7r6sysk!19sChIJG559ipbtDzkRj3f1xDCpfNc,https://gmch.gov.in/about-us/about-gmch,Data found,,3.8,24,Government hospital,"Sector 48A, Sector 48, Chandigarh, 160047, India",+91 172 260 1023,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",manpreetdawar@hotmail.com,18001802063
Ramdarbar Rural Polyclinic,https://www.google.com/maps/place/Ramdarbar+Rural+Polyclinic/data=!4m7!3m6!1s0x390fec91de1757c5:0x2e8911ba08ea41fd!8m2!3d30.6913226!4d76.7916548!16s%2Fg%2F1ptwdj8b8!19sChIJxVcX3pHsDzkR_UHqCLoRiS4,http://nrhmchd.gov.in/,Data found,,4.0,4,Government hospital,"NRHN State Health Society, Sector 22, Ram Darbar, Chandigarh 160002, India",+91 172 270 2924,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Civil Hospital Mohali,https://www.google.com/maps/place/Civil+Hospital+Mohali/data=!4m7!3m6!1s0x390fee144ed5f547:0xcfa9e36392dbe20d!8m2!3d30.738678!4d76.7131751!16s%2Fg%2F11bv2lg73w!19sChIJR_XVThTuDzkRDeLbkmPjqc8,http://www.pbhealth.gov.in/,No data found,,2.8,356,Government hospital,"Civil Hospital and Govt College, Road, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055, India",,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Indus Super Speciality Hospital,https://www.google.com/maps/place/Indus+Super+Speciality+Hospital/data=!4m7!3m6!1s0x390feda785d2ec5f:0x6301495b4669e0ed!8m2!3d30.7292742!4d76.7219871!16s%2Fg%2F1thd51_l!19sChIJX-zShaftDzkR7eBpRltJAWM,http://www.indushospital.in/,Data found,,4.6,1348,Private hospital,"opp. Old DC Office, Sector 55, Phase 1, Sector 55, Sahibzada Ajit Singh Nagar, Punjab 160055, India",+91 1762 512 666,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",contact@indushospital.in,+91-1762-512600
Government Medical College & Hospital Emergency Room,https://www.google.com/maps/place/Government+Medical+College+%26+Hospital+Emergency+Room/data=!4m7!3m6!1s0x390fecf83bebd065:0x2b92ef8bb3bc5956!8m2!3d30.7096254!4d76.7813772!16s%2Fg%2F11bxd7xsdd!19sChIJZdDrO_jsDzkRVlm8s4vvkis,http://www.gmch.gov.in/,Data found,,3.6,94,Government hospital,"Dakshin Marg, 32B, Sector 32, Chandigarh, 160047, India",+91 172 260 1023,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",manpreetdawar@hotmail.com,18001802063
Aarogya Hospital,https://www.google.com/maps/place/Aarogya+Hospital/data=!4m7!3m6!1s0x390ff3bb63078cbb:0xddd71a6909cce975!8m2!3d30.775899!4d76.7700609!16s%2Fg%2F11tncr5nh0!19sChIJu4wHY7vzDzkRdenMCWka190,,No website found,,4.9,74,Hospital,"Khudda Lahora, Chandigarh, Khudda Lahora, Chandigarh 160014, India",,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",,
Ayu Health Hospitals - Ayushman Bharat Empanelled,https://www.google.com/maps/place/Ayu+Health+Hospitals+-+Ayushman+Bharat+Empanelled/data=!4m7!3m6!1s0x390fed307fbb7e1d:0x95c3a0f233004127!8m2!3d30.7245856!4d76.76882!16s%2Fg%2F11stsf3t_f!19sChIJHX67fzDtDzkRJ0EAM_Kgw5U,https://ayu.health/chandigarh?utm_source=google&utm_medium=organic&utm_campaign=GMB_chd_sector34a,Data found,,5.0,67,Hospital,"17, Piccadily Rd, above Domino's SCO16, Sub. City Center, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 731 485 5513,"https://www.google.com/maps/search/hospitals+in+chandigarh/@30.6964533,76.7291042,11z?entry=ttu",contact@ayu.health,+91 636-610-0800
